timestamp;value_co2;value_temp;value_hum;value_airpressure;value_light
2022-02-08T09:31:36.000Z;1008.00;24.26;34.57;101091.09;0.00
2022-02-08T09:32:06.000Z;1014.00;24.35;34.16;101083.66;48.00
2022-02-08T09:32:36.000Z;1023.00;24.52;33.95;101084.69;48.00
2022-02-08T09:33:06.000Z;1028.00;24.54;33.75;101088.81;48.00
2022-02-08T09:33:37.000Z;1047.00;24.42;33.92;101087.38;49.00
2022-02-08T09:34:07.000Z;1023.00;24.47;33.67;101084.06;2.00
2022-02-08T09:34:37.000Z;1011.00;24.49;33.38;101090.86;2.00
2022-02-08T09:35:07.000Z;1001.00;24.56;33.40;101091.41;0.00
2022-02-08T09:35:38.000Z;998.00;24.61;33.25;101091.30;0.00
2022-02-08T09:36:08.000Z;996.00;24.63;33.22;101092.29;0.00
2022-02-08T09:36:38.000Z;995.00;24.61;33.18;101084.77;0.00
2022-02-08T09:37:08.000Z;990.00;24.64;33.23;101086.33;0.00
2022-02-08T09:37:38.000Z;985.00;24.59;33.21;101082.30;2.00
2022-02-08T09:38:09.000Z;978.00;24.66;32.99;101081.59;2.00
2022-02-08T09:38:39.000Z;960.00;24.61;32.97;101086.64;0.00
2022-02-08T09:39:09.000Z;947.00;24.61;32.96;101087.80;2.00
2022-02-08T09:39:39.000Z;940.00;24.70;32.89;101086.53;2.00
2022-02-08T09:40:10.000Z;934.00;24.64;32.77;101087.17;23.00
2022-02-08T09:40:40.000Z;915.00;24.64;32.59;101085.26;20.00
2022-02-08T09:41:10.000Z;885.00;24.77;32.61;101089.23;30.00
2022-02-08T09:41:40.000Z;886.00;24.77;32.55;101087.04;29.00
2022-02-08T09:42:11.000Z;896.00;24.66;33.22;101079.83;31.00
2022-02-08T09:42:41.000Z;968.00;24.68;33.47;101080.37;29.00
2022-02-08T09:43:11.000Z;982.00;24.84;33.11;101078.50;31.00
2022-02-08T09:43:41.000Z;993.00;24.77;32.97;101080.53;29.00
2022-02-08T09:44:12.000Z;996.00;24.78;33.12;101079.86;29.00
2022-02-08T09:44:42.000Z;996.00;24.80;32.88;101086.75;29.00
2022-02-08T09:45:12.000Z;1002.00;24.80;33.08;101081.86;29.00
2022-02-08T09:45:42.000Z;1015.00;24.85;33.13;101079.44;29.00
2022-02-08T09:46:13.000Z;1036.00;24.78;33.40;101076.95;29.00
