timestamp;value_co2;value_temp;value_hum;value_airpressure;value_light
2022-02-08T09:31:36.000Z;1008;24.26;34.57;1010.9109;0
2022-02-08T09:32:06.000Z;1014;24.35;34.16;1010.8366;48
2022-02-08T09:32:36.000Z;1023;24.52;33.95;1010.8469;48
2022-02-08T09:33:06.000Z;1028;24.54;33.75;1010.8881;48
2022-02-08T09:33:37.000Z;1047;24.42;33.92;1010.8738;49
2022-02-08T09:34:07.000Z;1023;24.47;33.67;1010.8406;2
2022-02-08T09:34:37.000Z;1011;24.49;33.38;1010.9086;2
2022-02-08T09:35:07.000Z;1001;24.56;33.4;1010.9141;0
2022-02-08T09:35:38.000Z;998;24.61;33.25;1010.913;0
2022-02-08T09:36:08.000Z;996;24.63;33.22;1010.9229;0
2022-02-08T09:36:38.000Z;995;24.61;33.18;1010.8477;0
2022-02-08T09:37:08.000Z;990;24.64;33.23;1010.8633;0
2022-02-08T09:37:38.000Z;985;24.59;33.21;1010.823;2
2022-02-08T09:38:09.000Z;978;24.66;32.99;1010.8159;2
2022-02-08T09:38:39.000Z;960;24.61;32.97;1010.8664;0
2022-02-08T09:39:09.000Z;947;24.61;32.96;1010.878;2
2022-02-08T09:39:39.000Z;940;24.7;32.89;1010.8653;2
2022-02-08T09:40:10.000Z;934;24.64;32.77;1010.8717;23
2022-02-08T09:40:40.000Z;915;24.64;32.59;1010.8526;20
2022-02-08T09:41:10.000Z;885;24.77;32.61;1010.8923;30
2022-02-08T09:41:40.000Z;886;24.77;32.55;1010.8704;29
2022-02-08T09:42:11.000Z;896;24.66;33.22;1010.7983;31
2022-02-08T09:42:41.000Z;968;24.68;33.47;1010.8037;29
2022-02-08T09:43:11.000Z;982;24.84;33.11;1010.785;31
2022-02-08T09:43:41.000Z;993;24.77;32.97;1010.8053;29
2022-02-08T09:44:12.000Z;996;24.78;33.12;1010.7986;29
2022-02-08T09:44:42.000Z;996;24.8;32.88;1010.8675;29
2022-02-08T09:45:12.000Z;1002;24.8;33.08;1010.8186;29
2022-02-08T09:45:42.000Z;1015;24.85;33.13;1010.7944;29
2022-02-08T09:46:13.000Z;1036;24.78;33.4;1010.7695;29
2022-02-08T09:46:43.000Z;1049;24.82;33.2;1010.7731;29
2022-02-08T09:47:13.000Z;1067;24.75;33.9;1010.8139;25
2022-02-08T09:47:43.000Z;1123;24.85;33.5;1010.7972;29
2022-02-08T09:48:14.000Z;1115;24.85;33.34;1010.8416;30
2022-02-08T09:48:44.000Z;1114;24.87;33.4;1010.8055;30
2022-02-08T09:49:14.000Z;1102;24.85;33.24;1010.8848;30
2022-02-08T09:49:44.000Z;1076;24.89;33.01;1010.8225;29
2022-02-08T09:50:14.000Z;1061;24.89;33.13;1010.8994;29
2022-02-08T09:50:45.000Z;1056;24.94;33.01;1010.8847;29
2022-02-08T09:51:15.000Z;1048;24.95;32.75;1010.8944;29
2022-02-08T09:51:45.000Z;1007;24.92;32.66;1010.8924;31
2022-02-08T09:52:15.000Z;983;24.89;32.81;1010.89;31
2022-02-08T09:52:46.000Z;977;24.75;33.24;1010.9242;31
2022-02-08T09:53:16.000Z;970;24.8;33.3;1010.9414;31
2022-02-08T09:53:46.000Z;970;24.78;33.36;1010.925;31
2022-02-08T09:54:16.000Z;984;24.77;33.4;1010.9364;31
2022-02-08T09:54:47.000Z;1004;24.75;33.55;1010.9703;31
2022-02-08T09:55:17.000Z;1022;24.7;33.8;1010.9234;31
2022-02-08T09:55:47.000Z;1059;24.71;33.93;1010.9542;31
2022-02-08T09:56:17.000Z;1091;24.75;34.01;1010.9337;31
2022-02-08T09:56:48.000Z;1113;24.75;34.04;1010.9644;31
2022-02-08T09:57:18.000Z;1126;24.77;34;1010.9673;31
2022-02-08T09:57:48.000Z;1136;24.81;33.99;1010.9828;31
2022-02-08T09:58:18.000Z;1153;24.81;34.05;1010.9694;31
2022-02-08T09:58:49.000Z;1169;24.81;34.06;1011.0559;31
2022-02-08T09:59:19.000Z;1181;24.87;34;1010.98;31
2022-02-08T09:59:49.000Z;1185;24.88;34.1;1011.0142;31
2022-02-08T10:00:19.000Z;1190;24.87;34.04;1010.9561;29
2022-02-08T10:00:50.000Z;1197;24.88;34.1;1011.003;29
2022-02-08T10:01:20.000Z;1203;24.89;34.07;1010.9846;31
2022-02-08T10:01:50.000Z;1206;24.97;34.16;1010.9584;31
2022-02-08T10:02:20.000Z;1213;24.95;34.03;1010.917;31
2022-02-08T10:02:51.000Z;1215;24.97;34.03;1010.97;31
2022-02-08T10:03:21.000Z;1216;24.97;33.98;1010.9362;31
2022-02-08T10:03:51.000Z;1215;24.97;33.91;1010.9702;31
2022-02-08T10:04:21.000Z;1218;24.98;33.85;1011.0534;31
2022-02-08T10:04:51.000Z;1217;25.01;33.83;1010.9986;31
2022-02-08T10:05:22.000Z;1215;25.04;33.89;1011.0074;31
2022-02-08T10:05:52.000Z;1219;25.06;33.92;1011.0215;31
2022-02-08T10:06:22.000Z;1222;25.06;33.96;1011.027;34
2022-02-08T10:06:52.000Z;1224;25.05;34.01;1011.0216;34
2022-02-08T10:07:23.000Z;1227;25.06;33.92;1011.0707;34
2022-02-08T10:07:53.000Z;1230;25.09;33.9;1011.0386;34
2022-02-08T10:08:23.000Z;1233;25.09;33.96;1011.0441;34
2022-02-08T10:08:53.000Z;1236;25.09;33.89;1010.954;29
2022-02-08T10:09:24.000Z;1238;25.09;33.93;1010.9181;34
2022-02-08T10:09:54.000Z;1239;25.14;33.89;1010.995;34
2022-02-08T10:10:24.000Z;1244;25.15;33.91;1010.9698;34
2022-02-08T10:10:54.000Z;1248;25.16;33.84;1010.9945;29
2022-02-08T10:11:25.000Z;1250;25.15;33.88;1011.056;29
2022-02-08T10:11:55.000Z;1250;25.16;33.85;1011.027;29
2022-02-08T10:12:25.000Z;1252;25.16;33.83;1011.0167;29
2022-02-08T10:12:55.000Z;1255;25.19;33.96;1010.943;34
2022-02-08T10:13:26.000Z;1257;25.19;33.94;1011.0203;34
2022-02-08T10:13:56.000Z;1260;25.22;33.92;1011.0292;37
2022-02-08T10:14:26.000Z;1265;25.22;33.87;1011.0028;37
2022-02-08T10:14:56.000Z;1269;25.22;33.89;1011.0545;34
2022-02-08T10:15:27.000Z;1271;25.25;33.9;1010.992;34
2022-02-08T10:15:57.000Z;1275;25.22;33.92;1010.9992;34
2022-02-08T10:16:27.000Z;1276;25.25;33.96;1011.0294;34
2022-02-08T10:16:57.000Z;1279;25.25;33.89;1011.0006;37
2022-02-08T10:17:27.000Z;1283;25.26;33.91;1011.074;37
2022-02-08T10:17:58.000Z;1289;25.25;33.9;1011.0564;34
2022-02-08T10:18:28.000Z;1289;25.28;33.27;1011.0489;37
2022-02-08T10:18:58.000Z;1230;25.26;33.37;1010.9708;34
2022-02-08T10:19:28.000Z;1190;25.29;32.92;1010.9394;29
