timestamp;value_co2;value_hum;value_airpressure;value_light;value_temp
2022-03-10T17:40:12.000Z;721.00;29.92;101152.36;0.00;18.01
2022-03-10T17:40:43.000Z;672.00;29.06;101150.92;66.00;18.31
2022-03-10T17:41:13.000Z;662.00;27.93;101153.19;44.00;18.53
2022-03-10T17:41:43.000Z;651.00;28.10;101147.98;42.00;18.71
2022-03-10T17:42:13.000Z;639.00;27.49;101151.59;42.00;18.90
2022-03-10T17:42:44.000Z;635.00;26.91;101148.94;42.00;19.01
2022-03-10T17:43:14.000Z;633.00;27.88;101147.77;40.00;19.18
2022-03-10T17:43:44.000Z;633.00;26.31;101151.24;40.00;19.27
2022-03-10T17:44:14.000Z;638.00;27.09;101148.92;39.00;19.37
2022-03-10T17:44:45.000Z;640.00;26.52;101145.08;39.00;19.46
2022-03-10T17:45:15.000Z;642.00;25.79;101149.06;39.00;19.54
2022-03-10T17:45:45.000Z;642.00;26.55;101149.56;37.00;19.64
2022-03-10T17:46:15.000Z;641.00;27.35;101151.23;36.00;19.70
2022-03-10T17:46:46.000Z;638.00;26.23;101152.12;36.00;19.75
2022-03-10T17:47:16.000Z;636.00;27.11;101153.62;36.00;19.82
2022-03-10T17:47:46.000Z;635.00;26.97;101146.47;35.00;19.86
2022-03-10T17:48:16.000Z;631.00;27.26;101149.13;34.00;19.92
2022-03-10T17:48:46.000Z;626.00;27.22;101152.29;32.00;19.95
2022-03-10T17:49:17.000Z;621.00;27.03;101151.89;33.00;19.98
2022-03-10T17:49:47.000Z;617.00;26.38;101150.72;32.00;20.04
2022-03-10T17:50:17.000Z;613.00;27.27;101149.25;30.00;20.04
2022-03-10T17:50:47.000Z;609.00;25.82;101151.50;29.00;20.04
2022-03-10T17:51:18.000Z;606.00;26.90;101149.48;29.00;20.07
2022-03-10T17:51:48.000Z;604.00;26.16;101155.16;28.00;20.09
2022-03-10T17:52:18.000Z;602.00;26.49;101150.16;27.00;20.12
2022-03-10T17:52:48.000Z;601.00;26.83;101152.59;27.00;20.12
2022-03-10T17:53:19.000Z;599.00;25.52;101153.67;27.00;20.13
2022-03-10T17:53:49.000Z;605.00;25.44;101155.58;26.00;20.13
2022-03-10T17:54:19.000Z;604.00;26.14;101149.53;25.00;20.16
2022-03-10T17:54:49.000Z;607.00;26.43;101156.01;24.00;20.15
2022-03-10T17:55:19.000Z;607.00;26.45;101153.59;23.00;20.16
2022-03-10T17:55:50.000Z;609.00;26.03;101154.52;22.00;20.16
2022-03-10T17:56:20.000Z;613.00;25.62;101156.14;22.00;20.15
2022-03-10T17:56:50.000Z;617.00;25.81;101148.70;22.00;20.18
2022-03-10T17:57:20.000Z;620.00;25.90;101155.17;20.00;20.16
2022-03-10T17:57:51.000Z;618.00;26.24;101154.02;20.00;20.15
2022-03-10T17:58:21.000Z;615.00;26.83;101148.70;18.00;20.16
2022-03-10T17:58:51.000Z;612.00;27.10;101151.66;18.00;20.18
2022-03-10T17:59:21.000Z;615.00;25.60;101151.25;16.00;20.16
2022-03-10T17:59:52.000Z;618.00;25.72;101153.28;15.00;20.19
2022-03-10T18:00:22.000Z;618.00;26.59;101154.08;12.00;20.18
timestamp;value;value;value;value;value
2022-03-10T18:01:23.000Z;622.00;26.73;101150.40;0.00;19.80
2165-165-165T45:165:85.000Z;0.00;0.00;101146.84;35.00;0.00
2022-03-10T18:02:23.000Z;0.00;0.00;101150.54;31.00;0.00
2022-03-10T18:02:53.000Z;0.00;0.00;101140.65;31.00;0.00
2022-03-10T18:03:23.000Z;0.00;0.00;101148.00;32.00;0.00
2022-03-10T18:03:54.000Z;0.00;0.00;101147.45;30.00;0.00
2022-03-10T18:04:24.000Z;0.00;0.00;101146.58;34.00;0.00
2022-03-10T18:04:54.000Z;0.00;0.00;101145.35;29.00;0.00
2022-03-10T18:05:24.000Z;0.00;0.00;101147.92;23.00;0.00
2022-03-10T18:05:55.000Z;0.00;0.00;101152.48;25.00;0.00
2022-03-10T18:06:25.000Z;0.00;0.00;101146.59;22.00;0.00
2022-03-10T18:06:55.000Z;0.00;0.00;101155.75;24.00;0.00
2022-03-10T18:07:25.000Z;0.00;0.00;101151.64;22.00;0.00
2022-03-10T18:07:55.000Z;0.00;0.00;101152.91;24.00;0.00
2022-03-10T18:08:26.000Z;0.00;0.00;101151.48;30.00;0.00
2022-03-10T18:08:56.000Z;0.00;0.00;101154.48;26.00;0.00
2022-03-10T18:09:26.000Z;0.00;0.00;101149.08;28.00;0.00
2022-03-10T18:09:56.000Z;0.00;0.00;101150.55;23.00;0.00
2022-03-10T18:10:27.000Z;0.00;0.00;101151.01;19.00;0.00
2022-03-10T18:10:57.000Z;0.00;0.00;101155.67;21.00;0.00
2022-03-10T18:11:27.000Z;0.00;0.00;101154.34;17.00;0.00
2022-03-10T18:11:57.000Z;0.00;0.00;101156.10;19.00;0.00
2022-03-10T18:12:27.000Z;0.00;0.00;101153.67;15.00;0.00
2022-03-10T18:12:58.000Z;0.00;0.00;101152.44;17.00;0.00
2022-03-10T18:13:28.000Z;0.00;0.00;101153.51;17.00;0.00
2022-03-10T18:13:58.000Z;0.00;0.00;101153.17;23.00;0.00
2022-03-10T18:14:28.000Z;0.00;0.00;101158.27;23.00;0.00
2022-03-10T18:14:59.000Z;0.00;0.00;101156.56;20.00;0.00
2022-03-10T18:15:29.000Z;0.00;0.00;101155.17;16.00;0.00
2022-03-10T18:15:59.000Z;0.00;0.00;101158.41;12.00;0.00
2022-03-10T18:16:29.000Z;0.00;0.00;101156.37;8.00;0.00
2022-03-10T18:16:59.000Z;0.00;0.00;101154.83;14.00;0.00
2022-03-10T18:17:30.000Z;0.00;0.00;101155.16;4.00;0.00
2022-03-10T18:18:00.000Z;0.00;0.00;101156.36;16.00;0.00
2022-03-10T18:18:30.000Z;0.00;0.00;101153.37;11.00;0.00
2022-03-10T18:19:00.000Z;0.00;0.00;101154.20;11.00;0.00
2022-03-10T18:19:31.000Z;0.00;0.00;101164.52;13.00;0.00
2022-03-10T18:20:01.000Z;0.00;0.00;101155.94;9.00;0.00
2022-03-10T18:20:31.000Z;0.00;0.00;101155.94;9.00;0.00
2022-03-10T18:21:01.000Z;0.00;0.00;101153.84;11.00;0.00
2022-03-10T18:21:31.000Z;0.00;0.00;101149.77;5.00;0.00
2022-03-10T18:22:02.000Z;0.00;0.00;101152.88;5.00;0.00
2022-03-10T18:22:32.000Z;0.00;0.00;101152.20;5.00;0.00
2022-03-10T18:23:02.000Z;0.00;0.00;101151.13;5.00;0.00
2022-03-10T18:23:32.000Z;0.00;0.00;101151.83;7.00;0.00
2022-03-10T18:24:03.000Z;0.00;0.00;101151.59;11.00;0.00
2022-03-10T18:24:33.000Z;0.00;0.00;101150.55;3.00;0.00
2022-03-10T18:25:03.000Z;0.00;0.00;101148.42;1.00;0.00
2022-03-10T18:25:33.000Z;0.00;0.00;101149.19;1.00;0.00
2022-03-10T18:26:03.000Z;0.00;0.00;101151.15;5.00;0.00
2022-03-10T18:26:34.000Z;0.00;0.00;101150.78;1.00;0.00
2022-03-10T18:27:04.000Z;0.00;0.00;101150.28;1.00;0.00
2022-03-10T18:27:34.000Z;0.00;0.00;101149.22;1.00;0.00
